nodes,label,type,id,orig_label,new_id,preds,confidence
healthyantiagingalternatives.com,-1,url,39419,-1,39419,0,0.93064916
sollevazione.it,-1,url,40688,-1,40688,0,0.9289993
onaego.com,-1,url,42645,-1,42645,0,0.9279175
niceeasy.de,-1,url,27526,-1,27526,0,0.9278626
caposele5stelle.it,-1,url,40652,-1,40652,0,0.9266152
schildverlag.de,-1,url,14514,-1,14514,0,0.9262681
lighthousenl.nl,-1,url,38001,-1,38001,0,0.9249696
by-jipp.blogspot.com,-1,url,19371,-1,19371,0,0.92439353
c3headlines.typepad.com,-1,url,39804,-1,39804,0,0.9242453
seoanalyzer.one,-1,url,40340,-1,40340,0,0.923773
sixfigureclassifieds.com,-1,url,43502,-1,43160,0,0.92374265
fiatlux.tk,-1,url,12278,-1,12278,0,0.92322135
bau.de,-1,url,38834,-1,38834,0,0.92287326
buzzfeednew.tech,-1,url,34828,-1,34828,0,0.9226007
estranky.cz,-1,url,32635,-1,32635,0,0.9217392
webworlds.info,-1,url,38762,-1,38762,0,0.9213684
comments.bot,-1,url,40023,-1,40023,0,0.9213115
noxyz.eu,-1,url,21625,-1,21625,0,0.92130345
nicovandenham2.blogspot.com,-1,url,37997,-1,37997,0,0.92129606
rusvesna.su,-1,url,41240,-1,41240,0,0.92099595
truthbits.blog,-1,url,32026,-1,32026,0,0.9198026
macuisinesansgluten.fr,-1,url,29159,-1,29159,0,0.9190217
cnj.it,-1,url,40655,-1,40655,0,0.91879445
wijclaimenonzevrijheidterug.nl,-1,url,37994,-1,37994,0,0.91774285
mnhopkins.blogspot.com,-1,url,40469,-1,40469,0,0.9177083
climenews.com,-1,url,39442,-1,39442,0,0.9175054
anderswat.nl,-1,url,37998,-1,37998,0,0.91744125
hinnavaatlus.ee,-1,url,43050,-1,42938,0,0.9171534
quickregister.us,-1,url,43501,-1,43159,0,0.91712046
nuestra-america.it,-1,url,40650,-1,40650,0,0.9168496
web25.info,-1,url,41870,-1,41870,0,0.9168113
trsv.me,-1,url,30446,-1,30446,0,0.9160103
etreplus.fr,-1,url,25564,-1,25564,0,0.91524446
impf-report.de,-1,url,32168,-1,32168,0,0.91504467
learntruehealth.com,-1,url,39418,-1,39418,0,0.91437924
lyrawave.com,-1,url,37999,-1,37999,0,0.91400003
ilcorrosivo.blogspot.com,-1,url,21238,-1,21238,0,0.91392356
strategika51intelligence.com,-1,url,40339,-1,40339,0,0.91386473
yayabla.nl,-1,url,38000,-1,38000,0,0.91269374
lyrawave.nl,-1,url,37995,-1,37995,0,0.91254616
dersaisonkoch.com,-1,url,41195,-1,41195,0,0.9120951
mistryworks.com,-1,url,31571,-1,31571,0,0.91184956
csavittoria.org,-1,url,40653,-1,40653,0,0.91183805
writingworks.co.za,-1,url,31565,-1,31565,0,0.9117463
elderstatement.com,-1,url,27784,-1,27784,0,0.9112714
leblogalupus.com,-1,url,16528,-1,16528,0,0.91107225
tebro.fi,-1,url,20697,-1,20697,0,0.9110345
minurne.org,-1,url,31166,-1,31166,0,0.91085845
plouc.fr,-1,url,18074,-1,18074,0,0.9107522
discothe.quest,-1,url,20694,-1,20694,0,0.91056806
iratetirelessminority.blogspot.com,-1,url,38178,-1,38178,0,0.9102249
rodlediazec.blogspot.com,-1,url,13713,-1,13713,0,0.91020644
exilemusical.blogspot.com,-1,url,31572,-1,31572,0,0.9101488
thetenpennyreport.com,-1,url,43303,-1,43049,0,0.90978754
aimarchive.party,-1,url,42067,-1,42067,0,0.90977055
fisicaquantistica.it,-1,url,41472,-1,41472,0,0.90950006
sarahmaidofalbion.blogspot.com,-1,url,19642,-1,19642,0,0.909427
civilloquy.com,-1,url,20702,-1,20702,0,0.9093708
stuckinmassachusetts.blogspot.com,-1,url,21512,-1,21512,0,0.90935516
livesound.world,-1,url,20700,-1,20700,0,0.90898174
bibelgriechisch.online,-1,url,40343,-1,40343,0,0.9089706
finalscape.com,-1,url,39852,-1,39852,0,0.90859824
hrmtc.com,-1,url,30662,-1,30662,0,0.9084913
news-life.org,-1,url,41239,-1,41239,0,0.90836775
casadelsole.tv,-1,url,38581,-1,38581,0,0.90830743
pornsink.com,-1,url,43754,-1,43293,0,0.9082244
pornobereza.com,-1,url,42647,-1,42647,0,0.90757954
hogru.ch,-1,url,20695,-1,20695,0,0.9075047
jacques-tourtaux.com,-1,url,29977,-1,29977,0,0.90742683
4liberty.org.uk,-1,url,36943,-1,36943,0,0.9071546
thias.xyz,-1,url,20696,-1,20696,0,0.9070591
americandownfall.com,-1,url,40021,-1,40021,0,0.90684146
exit-esens.de,-1,url,30063,-1,30063,0,0.90603566
cagou.com,-1,url,25565,-1,25565,0,0.9060171
ramble.moe,-1,url,20698,-1,20698,0,0.90587634
geobiologie-sante.com,-1,url,13650,-1,13650,0,0.9057357
conservativefighters.co,-1,url,41501,-1,41501,0,0.9051923
changera.blogspot.com,-1,url,12643,-1,12643,0,0.90461934
mmsforum.io,-1,url,32081,-1,32081,0,0.9042834
webe.news,-1,url,30326,-1,30326,0,0.9041319
thefinereport.com,-1,url,37822,-1,37822,0,0.9039051
62.141.59.55,-1,url,13065,-1,13065,0,0.90344614
gold.run,-1,url,29817,-1,29817,0,0.9033485
pornoanton.com,-1,url,42650,-1,42650,0,0.90329075
mcthag.blogspot.com,-1,url,30376,-1,30376,0,0.90319574
radiochristianity.com,-1,url,41478,-1,41478,0,0.90318775
coingenius.news,-1,url,21167,-1,21167,0,0.9029516
greatmountainpublishing.com,-1,url,31371,-1,31371,0,0.9028902
afnn.us,-1,url,38442,-1,38442,0,0.9027557
reinfovf.com,-1,url,38828,-1,38828,0,0.9026637
cityroma.com,-1,url,41849,-1,41849,0,0.90261114
wwg1wga-tv.de,-1,url,38646,-1,38646,0,0.90239966
zeitgeistlos.de,-1,url,38475,-1,38475,0,0.9023223
fosshost.com,-1,url,20699,-1,20699,0,0.90226954
62.141.59.53,-1,url,13066,-1,13066,0,0.90021396
spunkysupermom.blogspot.com,-1,url,43305,-1,43051,0,0.90018904
62.141.58.43,-1,url,13067,-1,13067,0,0.9000214
8kun.top,-1,url,16994,-1,16994,0,0.89962846
frafuno.blogspot.com,-1,url,18403,-1,18403,0,0.8993174
rostockaktuell.de,-1,url,13069,-1,13069,0,0.89923364
liberopensiero2019.blogspot.com,-1,url,29989,-1,29989,0,0.8989628
kaotic.com,-1,url,37777,-1,37777,0,0.8988364
pensieri-eretici.blogspot.com,-1,url,22406,-1,22406,0,0.89860594
viaveritavita.net,-1,url,30313,-1,30313,0,0.89858395
lmschairman.org,-1,url,38192,-1,38192,0,0.8979619
razorsharpclaws.blogspot.com,-1,url,27785,-1,27785,0,0.8978845
marcocedolin.blogspot.com,-1,url,21241,-1,21241,0,0.8974662
silverliberationarmy.blogspot.com,-1,url,30389,-1,30389,0,0.8974359
freeglobalclassifiedads.com,-1,url,43500,-1,43158,0,0.8973001
masacriticaconsciente.blogspot.com,-1,url,38763,-1,38763,0,0.89710456
ec2-50-17-182-94.compute-1.amazonaws.com,-1,url,43245,-1,43020,0,0.8969418
classonlife.it,-1,url,29214,-1,29214,0,0.89663965
vernunftkraft-hessen.de,-1,url,24475,-1,24475,0,0.8965814
questlifefellowship.com,-1,url,38647,-1,38647,0,0.89653736
orizzonte48.blogspot.com,-1,url,42701,-1,42701,0,0.8965361
mmstestimonials.is,-1,url,32082,-1,32082,0,0.89623976
cobraf.com,-1,url,39874,-1,39874,0,0.89611894
operationdisclosure1.blogspot.com,-1,url,23490,-1,23490,0,0.8959035
nwoo.org,-1,url,42868,-1,42868,0,0.8957944
blog.is,-1,url,31915,-1,31915,0,0.89579016
borsalino.news,-1,url,42975,-1,42915,0,0.8957269
naynadesai.blogspot.com,-1,url,31569,-1,31569,0,0.89567846
muelheim-kurier.de,-1,url,13068,-1,13068,0,0.8953582
realscience.news,-1,url,40447,-1,40447,0,0.89523876
goingkuwaiti.com,-1,url,27788,-1,27788,0,0.8951408
oneear.blogspot.com,-1,url,39710,-1,39710,0,0.8946883
mediavrijheid.nl,-1,url,37996,-1,37996,0,0.89453244
commoncts.blogspot.com,-1,url,30378,-1,30378,0,0.8944052
eveilhomme.com,-1,url,25563,-1,25563,0,0.8940362
onaego.org,-1,url,42648,-1,42648,0,0.89276254
attivo.tv,-1,url,31039,-1,31039,0,0.8927331
nokialainen.blogspot.com,-1,url,39711,-1,39711,0,0.8926208
geubel.com,-1,url,32085,-1,32085,0,0.8917321
50.17.182.94,-1,url,43246,-1,43021,0,0.891576
fremder1952.blogspot.com,-1,url,15033,-1,15033,0,0.8915129
spread-the-truth777.blogspot.com,-1,url,20019,-1,20019,0,0.8906576
studio-std.de,-1,url,38512,-1,38512,0,0.8903596
havacuppahemlock1.blogspot.com,-1,url,32629,-1,32629,0,0.8894306
yahoosee.com,-1,url,23970,-1,23970,0,0.8894011
gwins.org,-1,url,43248,-1,43023,0,0.8893568
palaestinafelix.blogspot.com,-1,url,42459,-1,42459,0,0.8893437
fintatolleranza.blogspot.com,-1,url,29392,-1,29392,0,0.88912785
citycagliari.com,-1,url,16660,-1,16660,0,0.8890455
abakus-internet-marketing.de,-1,url,26186,-1,26186,0,0.8889774
funwithgovernment.blogspot.com,-1,url,43107,-1,42970,0,0.88886297
whitebiocentrism.com,-1,url,43295,-1,43042,0,0.8884084
qanon.video,-1,url,26185,-1,26185,0,0.8882625
thesource.network,-1,url,43302,-1,43048,0,0.8881384
vindecareacancerului.blogspot.com,-1,url,43304,-1,43050,0,0.8874282
thepatriotunited.com,-1,url,30434,-1,30434,0,0.8873277
zeitpunkt.ch,-1,url,31832,-1,31832,0,0.8873145
headlinewealth.com,-1,url,30432,-1,30432,0,0.8871554
guerresmondiales.com,-1,url,32633,-1,32633,0,0.886395
earthtraveller.blogspot.com,-1,url,31568,-1,31568,0,0.88633144
kingsrightsite.blogspot.com,-1,url,32632,-1,32632,0,0.8861616
veja.it,-1,url,43572,-1,43197,0,0.8860318
altrarealta.blogspot.com,-1,url,29986,-1,29986,0,0.8857896
hristospanagia3.blogspot.com,-1,url,42038,-1,42038,0,0.88549745
vivereinmodonaturale.com,-1,url,41516,-1,41516,0,0.8854795
collective-spark.xyz,-1,url,39834,-1,39834,0,0.88547105
