"url","backlinks","refpages","pages","valid_pages","text","image","nofollow","ugc","sponsored","dofollow","redirect","canonical","gov","edu","rss","alternate","html_pages","links_internal","links_external","refdomains","refclass_c","refips","linked_root_domains"
news4sanantonio.com,324705,204805,104265,104205.0,228929,32787,33128.0,1792.0,27,195765,552,92672,395,3205,36,1311,98816,812055,359573,22927,7343,19905,4896.0
news5cleveland.com,942955,403131,34926,34920.0,932475,37856,161425.0,3934.0,21,771035,6356,466,429,3460,174,16,30953,4719882,555906,27608,10952,20937,7838.0
news9.com,596524,389870,203454,203438.0,592492,7856,134002.0,4636.0,24,458471,408,640,177,2470,56,617,191174,25027917,3294407,19494,8706,16564,7405.0
newsbreak.com,2306877,1698492,14019697,14017112.0,2273879,365210,441658.0,44810.0,106,1831971,9735,5453,497,13199,120,78,12730289,1787922671,49735814,54911,21175,44651,335540.0
newsbusters.org,10452683,3570940,558227,558101.0,10442429,68315,180725.0,20665.0,45,10261575,5301,3762,43,1783,1104,64,443792,10799404,9310836,34417,10591,20997,14749.0
newschannel5.com,493727,288381,30453,30452.0,492630,80715,71001.0,5631.0,15,421599,599,175,794,1750,276,1,26296,2293927,436917,23726,9764,18637,6774.0
newschannel6now.com,81972,41554,51882,51881.0,80542,6906,16454.0,760.0,1,64081,78,1317,63,423,0,0,29031,1617529,200722,6431,2481,3803,2781.0
newschannel9.com,299595,156607,101751,101663.0,258862,18753,30232.0,1952.0,6,228622,215,37996,610,655,7,2146,94446,681388,379679,14632,5981,15435,5483.0
newscientist.com,21542097,9162043,141637,141604.0,21458000,665104,2137088.0,77878.0,838,19318568,13934,14992,4619,508751,16765,19001,81944,5500815,1464060,203992,50806,113595,19011.0
newser.com,2252748,1005628,385089,385088.0,2204373,81984,160351.0,6911.0,49,2043928,15215,21061,109,2616,352,503,358058,14341942,3355208,32136,10172,17903,15856.0
newsexaminer.com,3550,2513,825,825.0,3536,134,1719.0,26.0,0,1817,4,8,4,36,0,0,74,6334,936,688,592,705,22.0
newsexaminer.net,9505,5781,4387,4387.0,9487,654,2731.0,476.0,0,6750,10,0,1,94,1,0,4159,279305,8386,1820,1098,1498,2477.0
newsghana.com.gh,746454,376952,1667466,1664495.0,735932,141496,38482.0,1218.0,4,697443,8294,153,108,814,145,1154,1486036,60388182,8764956,18416,4256,6846,5399.0
newsguardtech.com,858836,579813,2973,2973.0,858770,285613,33891.0,940.0,13,824838,41,0,128,5322,4,0,1843,67607,12546,11600,5786,10669,885.0
newshub.co.nz,1370931,531869,331741,331679.0,1353737,204048,627523.0,16415.0,13,725138,1919,14900,494,5214,211,0,156613,6540453,4127527,84015,12830,26209,8147.0
newslit.org,79518,51954,4890,4885.0,78937,3094,4014.0,96.0,3,74908,313,80,105,1333,59,86,3910,163346,86246,5493,2786,4303,1477.0
newsmax.com,8367127,4665644,52012,51913.0,8353493,494242,1025217.0,40649.0,45,7328012,7382,3584,425,135519,2120,191,1684,30231,14622,106300,25290,55631,989.0
newsminer.com,462931,236766,5836,5836.0,462205,3099,81428.0,1370.0,0,380775,227,49,474,3617,414,3,758,63165,15927,11317,5777,9008,154.0
newsnationnow.com,19368799,7695200,106478,106476.0,19273784,74945,88803.0,3085.0,188,19184908,633,93578,140,2313,96,298,101853,6387589,1907726,29458,8691,18343,9280.0
newsobserver.com,2382669,1652767,23253,22717.0,2369078,335284,263689.0,8457.0,107,2105274,2200,9362,3311,52717,152,4,17519,1076628,182899,73183,20807,44256,468.0
newson6.com,770603,422394,116882,116869.0,766976,16090,64173.0,4394.0,20,702723,2382,442,178,2123,426,28,108941,14965026,2023158,22473,9329,17155,5815.0
newspapers.com,32082908,12969024,16714521,16714164.0,31992229,1273831,5794327.0,12739.0,47,26197679,12363,7667,6198,555398,15,4,14603471,89956175,40627065,77941,17764,40945,647.0
newsshopper.co.uk,467512,245984,2801,2801.0,459533,18427,63304.0,600.0,2,396220,137,7767,8,738,21,0,2797,167671,5493,11482,4451,7521,190.0
newstalk1280.com,10986,8960,68993,68992.0,7176,509,2733.0,12.0,0,4443,20,3782,0,7,3,0,67638,3329408,919522,604,278,335,14362.0
newstalk1290.com,59709,36227,60056,60050.0,59506,684,10710.0,112.0,0,48751,116,61,35,27,16,2,58406,4423844,838401,1639,979,1334,10764.0
newstalk870.am,88819,71236,96486,96483.0,78786,505,42830.0,58.0,1,35955,21,10005,5,28,6,0,94122,5250261,1758415,1924,1223,1613,10083.0
newstalkkzrg.com,26991,16985,10859,10859.0,26937,2845,4174.0,47.0,2,22763,34,6,6,18,8,0,10102,312676,157046,3236,1194,1788,365.0
newstarget.com,2737519,2155274,328487,328422.0,1065103,17757,40687.0,3585.0,6,1024358,446,11,2,435,308,1,200395,15904532,7001178,11740,4298,8039,19777.0
newstatesman.com,4697282,1962311,247382,247346.0,4691866,175486,575928.0,28173.0,343,4115278,1589,291,208,42726,1032,28,152759,12468250,1721345,87259,24129,49582,16863.0
newstimes.com,3316429,2522465,6231318,6224375.0,3015052,68308,77091.0,3975.0,3,2937925,807,299697,294,2318,268,0,6127156,168531826,65452546,17497,7273,12226,152698.0
newsweek.com,64545548,33186099,1404791,1404688.0,64226216,5478947,5859305.0,144340.0,3134,58360289,24231,283591,5262,35638081,3668,45,1131777,69570529,16208436,505530,68805,181686,78344.0
newswise.com,777686,538258,179536,179132.0,775078,70630,87202.0,2356.0,28,687824,1030,876,349,40229,641,0,164229,6506795,361621,36779,14636,27749,9984.0
newyorker.com,26651894,10997954,30608641,30603570.0,26626993,1106776,2291147.0,94870.0,1543,24331823,10561,2544,2108,404044,10227,146,5240376,160035885,30144698,421746,69994,184871,22092.0
nextimpulsesports.com,136899,124960,157880,157862.0,136706,7031,2397.0,208.0,0,134305,188,4,0,22,1,0,123583,2594435,2053083,1359,881,1126,4303.0
nextshark.com,598781,247821,99808,99792.0,597193,60849,252940.0,3288.0,96,343931,395,641,9,6271,155,19,73857,887097,270574,35029,7526,13695,10329.0
nfl.com,27589231,8181891,20323752,20322688.0,27575419,2073556,4493783.0,141795.0,3396,23078761,8994,796,845,254448,506,0,18439850,1563708736,807202063,208019,35095,84735,6027.0
nhc.com,1833443,60430,2769238,2769139.0,1820196,41003,13493.0,120.0,266,1806687,10202,14,1,2015,0,11,2629145,297169267,20760735,5319,2541,3848,2319.0
nhregister.com,4756287,2576764,587759,585983.0,4345607,225859,128109.0,4866.0,27,4217466,1060,339400,1397,6228,612,0,557120,12716490,4664400,21425,9179,16477,32082.0
niemanlab.org,2188244,822795,67477,67477.0,2167056,179010,105584.0,5322.0,21,2061336,1451,19,348,11983,1485,12200,60293,1790139,1110386,33291,14324,27296,15863.0
nih.gov,1987287140,305036308,1762457,1762106.0,1980526042,154688395,203842346.0,4116670.0,63294,1776543745,2206336,34560,16491506,610812589,251282,119341,567982,10845751,2325679,1531064,206542,661573,14330.0
nine.com.au,55605974,12986465,1993348,1992349.0,55591042,1270574,767459.0,7912.0,532,54822914,3918,10674,77,15707,281,1,1900731,66415254,11394649,37178,13845,30440,22715.0
niu.edu,17636649,3591893,5692350,5691864.0,17634498,449138,211997.0,7910.0,46,17422448,744,34,1470,521091,225,4,5541348,114541203,21464532,37233,15506,27222,10407.0
nj.com,34207454,16085930,8157949,8156297.0,34130129,822627,1698425.0,61032.0,206,32430252,6643,51340,10708,100718,4013,3104,5489840,439139331,56867267,266723,35575,85535,75034.0
nj.gov,497458868,24934047,50813048,50812160.0,494486985,36715215,16257857.0,17300.0,3643,478226685,2692780,58761,363825,290644,31502,20,50681466,241976563,104260149,101581,29474,67128,16677.0
nj1015.com,843140,485036,217815,217806.0,840533,33528,165248.0,1860.0,9,675251,368,1235,153,2715,691,1,208392,17845069,4441226,15595,6239,11804,23999.0
njbiz.com,1092557,880306,150945,150943.0,1092111,15616,36031.0,410.0,9,1056073,206,67,287,2997,115,3,130385,10187011,6896345,12197,5004,7917,14298.0
nmplates.com,739,619,340,340.0,739,219,56.0,0.0,0,683,0,0,0,9,0,0,322,1325,134,140,102,110,38.0
nola.com,5095270,2294665,64798,64781.0,5051319,113796,562945.0,14951.0,167,4487856,11915,8831,35257,68149,8364,5852,15369,1102278,309666,82358,25652,55381,2746.0
nongmoproject.org,381871,206085,3412,3396.0,381644,193737,38346.0,1034.0,33,343240,144,0,5,942,8,2,822,37340,8813,9663,4512,7385,567.0
noodlemagazine.com,1246670,1209221,365658,365544.0,1242509,46832,126169.0,7811.0,122,1116320,573,1952,6,190,0,0,139192,7460046,143485,5533,3101,4943,4.0
nordvpn.com,3656773,2327263,52568,52567.0,3308167,1676940,415940.0,6755.0,3003,2890316,17425,2349,221,936,50804,731,26242,1325599,465127,55280,17982,45701,1296.0
norfolkdailynews.com,101857,66724,13153,13153.0,94950,13863,29757.0,140.0,5,65188,116,20,78,421,152,4,2514,235013,31289,5460,3108,5554,519.0
northeastshooters.com,66841,27022,962785,962773.0,66833,1299,9688.0,1771.0,0,57143,2,0,11,28,0,0,357947,34225635,3426145,2328,1511,1936,29664.0
norwichbulletin.com,559197,183536,472234,471946.0,555775,13328,50889.0,528.0,10,504886,154,3238,464,4277,13,0,135627,4032081,1406243,12552,4371,7293,18953.0
nosyfan.com,48,41,36347,36344.0,48,5,20.0,0.0,0,28,0,0,0,0,0,0,16201,74206,501,36,35,36,1.0
notallowedto.com,2153,1938,31,31.0,2150,776,571.0,47.0,0,1576,1,0,0,9,0,0,11,240,10,868,400,467,3.0
notthebee.com,2011415,427442,70262,70262.0,2011162,11599,17191.0,3745.0,1,1993918,134,5,1,20,63,3,69854,838175,372890,5077,2713,4243,4374.0
now8news.com,4235,3333,1232,1232.0,4224,519,1435.0,88.0,0,2784,4,0,5,20,0,0,1198,17014,1710,847,559,712,22.0
npr.org,104224152,44610364,1421797,1420812.0,102500339,19746173,13908679.0,358455.0,7785,88578044,82604,951855,22416,7645619,43026,279182,704854,52466805,5497051,885173,109490,326746,83038.0
nps.gov,61375284,25214402,4047979,4038097.0,61348704,2598114,4226399.0,63396.0,4353,57118923,7328,101,305215,26676550,1978,16,3564532,190489169,11974193,338447,64552,172639,19821.0
nptelegraph.com,90673,54583,14716,14712.0,89611,1789,32156.0,123.0,0,57455,91,202,50,486,30,180,3449,273582,54990,5148,2956,4265,1216.0
nraila.org,4467840,2780539,256165,256162.0,3121441,249209,128681.0,45325.0,5,2992746,326,3664,68,1050,21,0,243816,1880676,2306875,16469,7360,13663,2703.0
nsmb.com,149063,81578,2146578,2146578.0,145345,42628,19041.0,1784.0,4,126294,17,3,21,353,3693,0,2137983,460602947,18073623,8879,4086,6658,30946.0
nsnews.com,5669847,4928026,422215,422194.0,5638495,25256,30445.0,641.0,2,5608047,13193,18005,81,4086,6,0,375419,17468476,13573419,8397,4518,7227,15032.0
ntd.com,5716140,3864212,112843,112838.0,5714206,35903,123984.0,4675.0,12,5590188,1776,90,43,324,34,0,96482,5244832,825683,21590,5569,9659,8883.0
nurturehandmade.com,2512,2199,7411,7411.0,1164,60,425.0,100.0,9,735,1348,0,0,0,0,0,5549,37958,4086,304,175,198,18.0
nutrafol.com,104568,67988,1810,1801.0,104456,13103,20346.0,241.0,231,83964,101,0,0,28,8,0,710,10355,4621,4216,2456,4279,262.0
