"url","backlinks","refpages","pages","valid_pages","text","image","nofollow","ugc","sponsored","dofollow","redirect","canonical","gov","edu","rss","alternate","html_pages","links_internal","links_external","refdomains","refclass_c","refips","linked_root_domains"
"newsbreakingspipe.com",3,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,3,0
"democraticmoms.com",219,165,7,7,219,17,28,10,0,191,0,0,0,1,0,0,0,2,0,59,58,80,0
"realfarmacy.com",149758,56721,15418,15415,149452,26478,13522,1254,0,135925,91,11,0,73,38,0,5614,157926,124154,8484,2633,3649,4117
"yournewswire.com",702161,263845,23979,23979,701731,205459,44863,6908,22,656766,123,3,0,247,87,4,377,39312,2113,8857,4273,6323,25
"freeinfomedia.com",69,68,8,8,69,0,17,0,0,52,0,0,0,1,0,0,1,11,0,42,39,44,0
"usherald.com",5154,4259,31,31,5145,73,726,144,0,4419,6,0,0,6,0,0,12,76,108,792,560,656,2
"usa-television.com",156,119,12,12,156,0,52,5,0,104,0,0,0,0,0,0,0,12,0,64,84,90,0
"theinternetpost.net",2870,2075,10,10,2849,36,1270,94,0,1579,19,0,0,3,0,0,0,0,10,276,209,242,1
"en-volve.com",260902,217484,47030,47027,260188,5331,12772,1584,0,247404,43,0,0,30,22,0,42805,1490212,362241,4572,1999,2968,6049
"channel23news.com",632,352,2060,2060,631,110,255,21,0,376,1,0,0,0,0,0,2003,16398,18208,182,151,168,13
"madworldnews.com",164526,62379,8344,8344,164164,3468,10376,998,0,153770,250,0,0,12,18,0,6197,207135,111127,3739,1782,2425,1862
"thefrt.com",146,139,194,194,141,21,44,3,0,97,5,0,0,0,0,0,0,0,194,62,56,67,1
"ladiesofliberty.net",157,120,33,33,157,0,16,4,0,141,0,0,0,0,0,0,33,650,0,41,42,45,0
"redcountry.us",84,83,0,0,84,0,7,1,0,77,0,0,0,0,0,0,0,0,0,27,24,25,0
"bizstandardnews.com",1331,1193,107,107,1331,43,287,30,0,1044,0,0,0,41,0,0,107,0,0,343,303,344,0
"politicalblindspot.com",17498,8789,0,0,17452,1472,1125,223,0,16327,7,0,0,12,4,0,0,0,0,1334,830,1009,0
"conservativedailypost.com",126040,79252,93815,93815,125693,4179,7881,881,0,117811,54,7,0,19,1,0,10468,557271,70469,3131,1619,2255,2359
"theblaze.com",11920603,4236650,243089,243089,11890534,464545,609580,67348,273,11279860,9195,6380,121,26225,2634,1382,130303,19156820,3865813,54619,18565,37632,16605
"tmzbreaking.com",68,52,19,19,68,4,17,0,0,51,0,0,0,0,0,0,0,0,21,20,21,25,1
"usadosenews.com",32,24,9,9,32,0,15,5,0,17,0,0,0,0,0,0,4,5,7,8,16,16,1
"newslo.com",51867,24162,14418,14412,51852,660,1214,136,0,50632,0,0,0,53,15,0,13930,358299,18427,1063,519,637,1431
"usanewshome.com",594,382,135,135,594,122,85,18,0,509,0,0,0,0,0,0,69,2467,322,171,113,131,14
"gulagbound.com",370113,165093,18295,18295,370058,12720,9246,6301,0,360812,11,0,0,4,41,0,16682,3038098,599522,2036,811,1034,9220
"dailyfeed.news",43,39,2,2,43,1,0,0,0,43,0,0,0,0,0,0,0,0,2,31,27,28,1
"clashdaily.com",1049732,475252,32241,32240,1049159,137537,23859,1878,1,1025295,82,2,0,21,10,26,30284,813351,1278272,3829,2244,4034,6268
"therundownlive.com",59343,35746,13515,13515,59322,347,4212,75,0,55108,9,0,0,23,6,2,13369,539675,389852,898,647,792,1134
"70news.wordpress.com",2497,2200,0,0,2497,38,489,107,0,2008,0,0,0,0,0,0,0,0,0,523,376,437,0
"newzmagazine.com",750,474,6566,6564,749,105,115,1,0,634,1,0,0,0,0,0,5945,126133,14492,230,151,175,372
"dcgazette.com",10804,4240,25654,25653,10754,558,1834,212,0,8920,50,0,2,61,0,0,4796,217926,9710,925,532,624,1570
"ladylibertysnews.com",224,221,46,46,216,6,16,1,0,200,8,0,0,0,0,0,35,349,15,56,51,56,1
"gossipmillsa.com",31,26,112,112,31,11,8,3,0,23,0,0,1,0,0,0,3,111,1,13,21,22,1
"dailybuzzlive.com",7539,4928,7538,7538,7536,2658,739,74,1,6797,2,0,0,22,0,0,7283,94229,34814,1768,599,712,203
"givemeliberty01.com",17490,10001,89,85,17490,226,2069,1789,0,15421,0,0,3,0,0,0,83,9897,603,275,169,285,564
"worldtruth.tv",325070,108974,38591,38589,322384,78398,21308,1619,1,301068,2082,5,0,28,312,2,36061,1413283,767440,8671,2387,3232,6536
